-----------------------------------------------------------
|                    ListServiceQuotas                    |
+------------------------------------------------+--------+
|                      Name                      | Value  |
|  ml.m7i.xlarge for spot training job usage     |  30.0  |
|  ml.c4.2xlarge for training job usage          |  30.0  |
|  ml.m4.xlarge for training job usage           |  30.0  |
|  ml.g6.24xlarge for training job usage         |  16.0  |
|  ml.c6i.32xlarge for spot training job usage   |  5.0   |
|  ml.c5n.xlarge for spot training job usage     |  1.0   |
|  ml.c5.9xlarge for training job usage          |  8.0   |
|  ml.g5.2xlarge for spot training job usage     |  1.0   |
|  ml.g4dn.8xlarge for spot training job usage   |  1.0   |
|  ml.r5.4xlarge for spot training job usage     |  1.0   |
|  ml.m6i.4xlarge for training job usage         |  30.0  |
|  ml.m4.4xlarge for spot training job usage     |  10.0  |
|  ml.r5.8xlarge for spot training job usage     |  1.0   |
|  ml.m4.10xlarge for training job usage         |  8.0   |
|  ml.m5.large for training job usage            |  30.0  |
|  ml.g4dn.xlarge for training job usage         |  1.0   |
|  ml.r5.large for spot training job usage       |  1.0   |
|  ml.t3.2xlarge for spot training job usage     |  1.0   |
|  ml.m6i.16xlarge for spot training job usage   |  3.0   |
|  ml.m4.10xlarge for spot training job usage    |  5.0   |
|  ml.c5.18xlarge for spot training job usage    |  5.0   |
|  ml.m4.16xlarge for spot training job usage    |  5.0   |
|  ml.c5.18xlarge for training job usage         |  64.0  |
|  ml.m5.4xlarge for training job usage          |  30.0  |
|  ml.g6.xlarge for training job usage           |  1.0   |
|  ml.g6.12xlarge for training job usage         |  1.0   |
|  ml.c7i.24xlarge for training job usage        |  8.0   |
|  ml.c5.4xlarge for spot training job usage     |  5.0   |
|  ml.g4dn.12xlarge for training job usage       |  1.0   |
|  ml.g5.48xlarge for training job usage         |  32.0  |
|  ml.m6i.large for training job usage           |  30.0  |
|  ml.c6i.4xlarge for training job usage         |  8.0   |
|  ml.m5.2xlarge for training job usage          |  128.0 |
|  ml.c4.2xlarge for spot training job usage     |  20.0  |
